gene_idx	gene_name	category	n_train_flipped	n_val_flipped	n_val_not_flipped	cutoff_99th	tp	fp	fn	tn	sensitivity	specificity	false_positive_rate	dor	log10_dor
2208	FEOBHI_09865 tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	core	1626	306	87048	3.72183620929718	305	15	1	87033	0.9967320261437909	0.9998276812792942	0.00017231872070581748	1769671.0	6.247892534064959
1411	FEOBHI_03830 GTPase Era	other	1773	366	86988	4.369616470336914	365	18	1	86970	0.9972677595628415	0.9997930749068837	0.00020692509311629191	1763558.3333333333	6.246389829427828
1013	FEOBHI_10970 Membrane-associated phospholipid phosphatase	other	1665	357	86997	3.5973072147369383	356	18	1	86979	0.9971988795518207	0.999793096313666	0.00020690368633401152	1720251.3333333333	6.235591903131763
5047	BNOEEK_03395 DUF5678 domain-containing protein	other	1644	357	86997	4.990157165527344	354	6	3	86991	0.9915966386554622	0.9999310321045554	6.896789544467051e-05	1710823.0	6.23320508020176
362	FEOBHI_10310 DNA-binding transcriptional regulator, HxlR family	other	1470	294	87060	4.536859421730041	293	15	1	87045	0.9965986394557823	0.9998277050310131	0.00017229496898690558	1700279.0	6.230520190918639
162	FEOBHI_05635 acyl carrier protein	other	1719	345	87009	2.597144732475279	343	9	2	87000	0.9942028985507246	0.9998965624245768	0.00010343757542323209	1657833.3333333333	6.2195408675580826
1567	FEOBHI_07310 phosphate acetyltransferase	other	1692	342	87012	3.6804263520240763	340	9	2	87003	0.9941520467836257	0.9998965659908978	0.0001034340091021928	1643390.0	6.215740639971162
1986	FEOBHI_05610 signal recognition particle protein	other	1650	276	87078	3.6948830223083498	275	15	1	87063	0.9963768115942029	0.9998277406463171	0.00017225935368290498	1596155.0	6.2030750626889795
1913	FEOBHI_03460 GTPase ObgE	other	1779	312	87042	3.666296048164368	311	17	1	87025	0.9967948717948718	0.999804691987776	0.00019530801222398384	1592045.5882352942	6.20195549960489
381	FEOBHI_11675 DNA replication initiation control protein YabA	other	1629	327	87027	3.8948930931091312	326	18	1	87009	0.9969418960244648	0.9997931676376297	0.00020683236237029886	1575829.6666666667	6.19750927227497
5075	EFLOIL_11760 hypothetical protein	other	1635	354	87000	5.285807142257691	353	20	1	86980	0.9971751412429378	0.9997701149425288	0.00022988505747126436	1535197.0	6.186164113053159
1460	FEOBHI_11685 DNA polymerase III, delta prime subunit	core	1644	252	87102	3.691162829399106	251	15	1	87087	0.996031746031746	0.9998277881104911	0.0001722118895088517	1457255.8	6.163535792523294
509	FEOBHI_11565 S1 domain-containing RNA-binding protein	other	1626	300	87054	4.569065093994141	299	18	1	87036	0.9966666666666667	0.9997932317871666	0.00020676821283341373	1445764.6666666667	6.160097606730495
3392	MDBBCG_03710 Chalcone/flavanone-binding protein YndB, AHSA1/START/SRPBCC domain	other	1755	348	87006	5.0310883045196535	347	21	1	86985	0.9971264367816092	0.9997586373353562	0.00024136266464381767	1437323.5714285714	6.157554547860851
5100	EFLOIL_11770 HTH cro/C1-type domain-containing protein	other	1665	297	87057	5.144492549896234	295	9	2	87048	0.9932659932659933	0.9998966194562183	0.00010338054378166029	1426620.0	6.154308308166898
1476	FEOBHI_05720 methionyl-tRNA formyltransferase	core	1638	288	87066	3.4017698740959164	287	18	1	87048	0.9965277777777778	0.9997932602853008	0.0002067397146991937	1387932.0	6.142368188922727
1352	FEOBHI_11110 acetyl-CoA carboxylase, carboxyltransferase subunit beta	other	1635	288	87066	3.4345234537124636	286	9	2	87057	0.9930555555555556	0.9998966301426504	0.00010336985734959685	1383239.0	6.140897225238407
1390	FEOBHI_04050 Geranylgeranyl pyrophosphate synthase	other	1590	285	87069	3.627379508018494	283	9	2	87060	0.9929824561403509	0.9998966337043035	0.00010336629569651656	1368776.6666666667	6.136332593242364
1162	FEOBHI_01875 Metal-staphylopine import system ATP-binding protein CntF	other	1719	282	87072	3.7950530004501344	280	9	2	87063	0.9929078014184397	0.9998966372657111	0.00010336273428886439	1354313.3333333333	6.131719154153311
106	FEOBHI_09835 Cold shock protein, CspA family	other	1824	372	86982	3.289101526737212	371	24	1	86958	0.9973118279569892	0.9997240808443126	0.00027591915568738357	1344225.75	6.128472210493266
5045	BNOEEK_03400 Nuclease	other	1728	288	87066	5.032328262329101	287	19	1	87047	0.9965277777777778	0.9997817747455953	0.00021822525440470448	1314867.8421052631	6.118882103906578
4784	JIOBMH_12465 MobD	other	1821	360	86994	4.247571945190429	356	6	4	86988	0.9888888888888889	0.999931029726188	6.897027381198704e-05	1290322.0	6.110698102061129
2086	FEOBHI_11345 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	other	1722	264	87090	4.752860407829284	263	18	1	87072	0.9962121212121212	0.9997933172580089	0.00020668274199104375	1272218.6666666667	6.104561763486116
166	FEOBHI_11360 preprotein translocase subunit SecG	other	1599	261	87093	3.5322545146942135	258	6	3	87087	0.9885057471264368	0.9999311081257966	6.889187420343771e-05	1248247.0	6.096300530957861
4969	OJEMIL_10135 hypothetical protein	other	1758	309	87045	4.646270480155951	308	22	1	87023	0.9967637540453075	0.9997472571658338	0.00025274283416623584	1218322.0	6.085762086606757
4797	PIPDJJ_08760 Transposase	other	1770	300	87054	4.6006131362915035	298	11	2	87043	0.9933333333333333	0.9998736416477129	0.00012635835228708617	1179037.0	6.071527434139783
5298	PCLKBG_09990 Spiroplasma plectrovirus-related protein	other	1611	321	87033	5.347551202774049	320	24	1	87009	0.9968847352024922	0.999724242528696	0.00027575747130398814	1160120.0	6.064502913918637
