gene_idx	gene_name	category	n_train_flipped	cutoff_99th
271	FEOBHI_05195 Ntox50 domain-containing protein	other	1620	6.556896510124205
272	FEOBHI_07805 cytochrome aa3 quinol oxidase subunit IV	other	1662	3.429362113475799
273	FEOBHI_08925 65 kDa membrane protein	other	1587	8.031516609191886
274	FEOBHI_12935 DNA-binding protein	other	1689	9.562439537048329
275	FEOBHI_00640 WXG100 family type VII secretion effector EsxA	other	1683	6.146318731307984
276	FEOBHI_03100 Helicase	other	1650	5.339213438034057
277	FEOBHI_05340 Thiamin-binding stress-response protein YqgV, UPF0045 family	other	1674	5.0100927782058715
278	FEOBHI_10130 copper-sensing transcriptional repressor CsoR	other	1581	4.601513671875002
279	FEOBHI_00205 30S ribosomal protein S6	core	1719	1.5019027113914483
280	FEOBHI_05000 Uncharacterized protein SAUSA300_1248	other	1647	6.0033762168884275
281	FEOBHI_08950 N-acetylmuramoyl-L-alanine amidase	core	1611	8.157722759246829
282	FEOBHI_10725 DUF4176 domain-containing protein	other	1704	6.2872521972656275
283	FEOBHI_12080 TfoX N-terminal domain protein	resistance	1632	6.220985808372499
284	FEOBHI_13095 Thioredoxin domain-containing protein	other	1779	5.826796445846558
285	FEOBHI_00550 Uncharacterized conserved protein	other	1644	6.198268575668332
286	FEOBHI_03960 Competence protein ComGE	other	1698	7.69727211952209
287	FEOBHI_04520 DUF2951 domain-containing protein	other	1611	8.53264045715332
288	FEOBHI_06740 30S ribosomal protein S6	core	1800	5.379997501373291
289	FEOBHI_09065 5-methylcytosine-specific restriction endonuclease McrA	other	1716	5.9563173294067315
290	FEOBHI_10765 DUF2316 domain-containing protein	other	1764	6.844875583648679
291	FEOBHI_02745 urease subunit gamma	other	1626	4.876163601875305
292	FEOBHI_04285 DUF2482 domain-containing protein	other	1656	7.3975824356079105
293	FEOBHI_04525 phage holin	phage	1755	8.1984259223938
294	FEOBHI_07050 DUF3860 domain-containing protein	other	1767	8.131389465332019
295	FEOBHI_08775 putative DNA-binding transcriptional regulator YerC, contains ArsR-like HTH domain	other	1629	2.2904904556274412
296	FEOBHI_09595 Phage protein	phage	1581	7.01934175491333
297	FEOBHI_11615 septation regulator SpoVG	other	1677	4.887088203430176
298	FEOBHI_12840 Immunity protein PlnI	other	1716	7.180693793296743
299	FEOBHI_04410 Terminase-small subunit	phage	1593	7.063186931610101
300	FEOBHI_09645 intercellular adhesion protein D, involved in polysaccharide intercellular adhesin(PIA) synthesis	other	1752	7.170859265327453
301	FEOBHI_01730 DUF3784 domain-containing protein	other	1704	7.116686830520631
302	FEOBHI_02920 30S ribosomal protein S10	core	1731	6.312969112396242
303	FEOBHI_03445 50S ribosomal protein L21	core	1668	5.8291910552978505
304	FEOBHI_03600 UPF0473 protein NWMN_1516	other	1653	4.706294288635254
305	FEOBHI_08225 Fe-S protein maturation auxiliary factor SufT	iron_fes	1698	3.639426703453064
306	FEOBHI_10875 myeloperoxidase inhibitor SPIN	other	1626	5.871208429336548
307	FEOBHI_13070 regulatory protein MsaA	other	1578	10.015638551712051
308	FEOBHI_00595 type VII secretion system secreted protein EsxD	other	1656	6.991674304008488
309	FEOBHI_03200 PTS system lactose-specific EIIA component	other	1623	5.389843282699582
310	FEOBHI_03950 competence type IV pilus major pilin ComGC	other	1635	7.926424169540412
311	FEOBHI_11795 Rhodanese-related sulfurtransferase	iron_fes	1785	5.880561218261723
312	FEOBHI_12490 DUF960 domain-containing protein	other	1554	7.501468014717103
313	FEOBHI_12965 DUF960 domain-containing protein	other	1686	7.069932699203508
314	FEOBHI_00605 WXG100 family type VII secretion effector EsxB	other	1626	6.566056609153748
315	FEOBHI_02190 Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase	other	1797	4.682395439147949
316	FEOBHI_04405 HNH endonuclease	other	1710	7.558662996292117
317	FEOBHI_05095 Transcriptional regulator	other	1800	4.734539632797241
318	FEOBHI_06065 thioredoxin	other	1665	3.1449730968475342
319	FEOBHI_06450 Uncharacterized conserved protein, contains Zn-finger domain of CHY type	other	1719	5.869340267181396
320	FEOBHI_08490 Amino acid permease	resistance	1692	6.850847115516657
321	FEOBHI_08600 Transcriptional regulator	other	1566	6.09228999614715
322	FEOBHI_10940 Pathogenicity island protein	other	1581	7.019482612609866
323	FEOBHI_11740 Uncharacterized conserved protein YtzB	other	1680	4.228083367347717
324	FEOBHI_12890 DNA-binding transcriptional regulator, ArsR family	other	1629	6.109509792327881
325	FEOBHI_02880 membrane stabilizing protein MspA	other	1656	4.40234718322754
326	FEOBHI_02980 50S ribosomal protein L24	core	1788	3.6987895703315723
327	FEOBHI_04280 Phage protein	phage	1740	7.301152272224422
328	FEOBHI_04695 NTP pyrophosphatase, house-cleaning of non-canonical NTPs	other	1632	4.049086580276489
329	FEOBHI_05455 YlxQ family RNA-binding protein	other	1635	3.6926272344589237
330	FEOBHI_07785 Bacterial Ig-like domain protein	other	1515	4.478267650604247
331	FEOBHI_03450 DUF464 domain-containing protein	other	1617	5.222367916107178
332	FEOBHI_06430 Bacillithiol system redox-active protein YtxJ	other	1497	5.067257728576659
333	FEOBHI_07045 DUF961 domain-containing protein	other	1620	9.56344533920288
334	FEOBHI_07935 DUF1093 domain-containing protein	other	1707	7.189852371215827
335	FEOBHI_09185 Prophage pi2 protein 07	phage	1662	9.075271043777457
336	FEOBHI_10420 Zn(II)-responsive metalloregulatory transcriptional repressor CzrA	other	1749	3.467623825073242
337	FEOBHI_10785 RNase III domain-containing protein	other	1644	6.964701538085935
338	FEOBHI_11495 Thiol-disulfide isomerase or thioredoxin	other	1671	4.741609907150267
339	FEOBHI_06110 staphylobilin-forming heme oxygenase IsdG	other	1656	6.505182933807374
340	FEOBHI_08400 Disulfide oxidoreductase YuzD	other	1653	5.9868359375
341	FEOBHI_10935 Cytosolic protein	other	1695	6.82630799293518
342	FEOBHI_11380 Conserved domain protein	other	1698	6.324146890640258
343	FEOBHI_01195 staphylobilin-forming heme oxygenase IsdI	other	1671	5.21501312255859
344	FEOBHI_01775 Cytosolic protein	other	1617	7.801335334777811
345	FEOBHI_02490 YnfA family protein	other	1569	7.172704544067383
346	FEOBHI_02705 bPH-3 domain-containing protein	other	1707	6.660466594696064
