variation	gene_idx	gene_name	category	n_train_flipped	n_val_flipped	n_val_not_flipped	cutoff_99th	tp	fp	fn	tn	sensitivity	specificity	false_positive_rate	dor	log10_dor
1	2602	FEOBHI_08740 Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	core	575	113	29005	3.852439484596246	111	3	2	29002	0.9823008849557522	0.9998965695569729	0.0001034304430270643	536537.0	5.729599676612792
1	782	FEOBHI_10225 F0F1 ATP synthase subunit delta	core	575	112	29006	4.123313398361203	111	6	1	29000	0.9910714285714286	0.9997931462456043	0.0002068537543956423	536500.0	5.72956972630197
1	3883	GFNPHG_12145 superantigen-like protein SSL4	other	552	112	29006	3.4186436676979066	111	6	1	29000	0.9910714285714286	0.9997931462456043	0.0002068537543956423	536500.0	5.72956972630197
1	5456	JLANAO_08745 Phage protein	phage	523	112	29006	6.444093255996703	111	6	1	29000	0.9910714285714286	0.9997931462456043	0.0002068537543956423	536500.0	5.72956972630197
1	1720	FEOBHI_10475 mannitol-1-phosphate 5-dehydrogenase	other	567	111	29007	6.189454984664928	110	6	1	29001	0.990990990990991	0.9997931533767711	0.0002068466232288758	531685.0	5.725654408087132
1	4997	OJEMIL_06645 Acyl-CoA hydrolase	other	566	111	29007	5.368248438835145	109	3	2	29004	0.9819819819819819	0.9998965766883856	0.0001034233116144379	526906.0	5.721733144012255
1	1465	FEOBHI_08840 manganese-dependent inorganic pyrophosphatase	other	559	110	29008	4.260590953826904	108	3	2	29005	0.9818181818181818	0.9998965802537231	0.00010341974627688913	522090.0	5.717745374906922
1	381	FEOBHI_11675 DNA replication initiation control protein YabA	other	543	109	29009	4.984460239410401	108	6	1	29003	0.9908256880733946	0.9997931676376297	0.00020683236237029886	522054.0	5.717715427693981
1	890	FEOBHI_07800 cytochrome aa3 quinol oxidase subunit III	other	561	109	29009	3.7137078285217267	108	6	1	29003	0.9908256880733946	0.9997931676376297	0.00020683236237029886	522054.0	5.717715427693981
1	1259	FEOBHI_07870 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	other	584	108	29010	3.7039570736884935	107	6	1	29004	0.9907407407407407	0.9997931747673217	0.00020682523267838676	517238.0	5.713690423756841
1	3383	MDBBCG_07460 Tranposition Protein	other	567	108	29010	6.635825080871584	107	6	1	29004	0.9907407407407407	0.9997931747673217	0.00020682523267838676	517238.0	5.713690423756841
1	844	FEOBHI_11595 aminoacyl-tRNA hydrolase	core	543	107	29011	6.9367677021026655	106	6	1	29005	0.9906542056074766	0.999793181896522	0.00020681810347799112	512421.6666666667	5.709627484684742
1	1446	FEOBHI_07300 mevalonate kinase	other	523	107	29011	4.837624025344841	106	6	1	29005	0.9906542056074766	0.999793181896522	0.00020681810347799112	512421.6666666667	5.709627484684742
1	1550	FEOBHI_06310 Pyruvate dehydrogenase E1 component subunit beta	other	532	107	29011	5.062561159133902	106	6	1	29005	0.9906542056074766	0.999793181896522	0.00020681810347799112	512421.6666666667	5.709627484684742
